127.0.0.1 - - [02/Jul/2024:12:35:48 +0200] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:35:48 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:35:49 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:35:49 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:36:40 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:36:40 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:37:00 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:37:33 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:37:37 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 500 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:39:02 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:39:11 +0200] "GET /40_formacion_validacion/FrontController?operation=toMenu HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:39:14 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:39:18 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 500 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:41:04 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:45:43 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:45:43 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:45:53 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:46:01 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:46:30 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:48:35 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:49:52 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:53:10 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:53:13 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:12:53:19 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:00:18 +0200] "GET /40_formacion_validacion/menu.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:04 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:04 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:04 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:20 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:23 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:01:42 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:02:39 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:04:08 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:04:24 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:06:21 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:06:21 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:09:53 +0200] "GET /40_formacion_validacion/nuevo.jsp HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:00 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 500 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:12 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:12 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:12 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:13 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:10:37 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:11:07 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:11:16 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 500 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:11:54 +0200] "GET /40_formacion_validacion/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:11:54 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:12:24 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:12:42 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:14:01 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:14:05 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:17:25 +0200] "GET /40_formacion_validacion/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:17:25 +0200] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:17:41 +0200] "POST /40_formacion_validacion/FrontController?operation=doLogin HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:17:44 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:19:08 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:20:31 +0200] "GET /40_formacion_validacion/FrontController?operation=toNuevo HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:21:38 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:23:22 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:26:51 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:30:32 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [02/Jul/2024:13:31:36 +0200] "POST /40_formacion_validacion/FrontController?operation=doGuardar HTTP/1.1" 200 2354
